geohash,highway_busway,highway_living_street,highway_motorway,highway_motorway_link,highway_primary,highway_primary_link,highway_residential,highway_secondary,highway_secondary_link,highway_tertiary,highway_tertiary_link,highway_trunk,highway_trunk_link,highway_unclassified,oneway_False,oneway_True,bridge_no,bridge_yes,tunnel_building_passage,tunnel_no,tunnel_yes
xn76g1,0,0,0,0,32,0,183,30,1,78,0,0,0,40,282,82,358,6,0,364,0
xn76g2,0,0,0,0,10,0,98,27,0,34,0,0,0,47,182,34,216,0,0,216,0
xn76g3,0,0,0,0,10,0,58,23,0,56,0,0,0,29,128,48,168,8,0,176,0
xn76g4,0,0,0,0,7,0,62,0,0,58,0,0,0,47,144,30,167,7,0,172,2
xn76g5,0,0,0,2,14,0,36,16,1,68,1,20,1,79,128,110,231,7,0,236,2
xn76g6,0,0,0,0,0,0,60,7,0,32,0,0,0,25,112,12,124,0,0,124,0
xn76g7,0,0,0,2,0,0,106,60,13,46,0,0,0,58,182,103,283,2,0,285,0
xn76g8,0,0,0,0,33,4,65,6,1,12,0,11,1,44,134,43,177,0,0,177,0
xn76gb,0,0,0,0,0,0,66,23,0,16,0,19,5,8,94,43,135,2,0,137,0
xn76gc,0,0,0,0,7,0,71,22,0,68,0,24,2,19,130,83,209,4,0,213,0
xn76gd,0,0,0,0,0,0,65,0,0,50,1,0,0,42,140,18,158,0,0,158,0
xn76ge,0,0,0,0,12,6,69,13,3,42,0,0,0,36,118,63,181,0,0,179,2
xn76gf,0,0,2,3,31,12,123,13,0,51,0,15,1,21,156,116,253,19,0,272,0
xn76gg,0,0,2,1,30,7,140,24,1,73,3,19,2,24,208,118,323,3,0,326,0
xn76gh,0,0,0,0,7,0,146,8,0,14,0,11,0,30,148,68,216,0,0,216,0
xn76gj,0,0,0,0,11,0,106,13,0,16,0,0,0,22,124,44,168,0,0,168,0
xn76gk,0,0,0,0,0,0,61,21,2,6,0,1,0,21,84,28,110,2,0,112,0
xn76gm,0,0,0,0,0,0,58,15,2,6,0,17,0,24,78,44,122,0,0,122,0
xn76gn,0,0,0,0,14,0,157,12,0,68,0,0,0,58,252,57,309,0,0,307,2
xn76gp,0,0,0,0,18,0,126,34,1,16,0,0,0,91,240,46,286,0,0,278,8
xn76gq,0,0,0,0,8,0,2,15,0,7,0,2,0,3,10,27,37,0,0,37,0
xn76gr,0,0,1,9,15,4,67,24,7,10,0,0,0,27,108,56,157,7,2,158,4
xn76gs,0,0,0,0,40,3,64,15,8,35,0,0,0,65,120,110,228,2,0,227,3
