geohash_start,geohash_end,weight
dr5rb1,dr5rb6,1
dr5rb3,dr5rb6,15
dr5rb3,dr5rb8,3
dr5rb3,dr5rb9,15
dr5rb4,dr5rb6,5
dr5rb6,dr5rbd,9
dr5rb8,dr5rb9,8
dr5rb9,dr5rbc,4
dr5rb9,dr5rbd,14
dr5rbm,dr5rbq,17
dr5rbn,dr5rbp,16
dr5rbn,dr5rbq,6
dr5rbn,dr5rbr,2
dr5rbp,dr5rbr,12
dr5rbp,dr7200,16
dr5rbp,dr7202,2
dr5rbq,dr5rbr,16
dr5rbr,dr7202,19
dr5rbs,dr5rbt,20
dr5rbs,dr5rbv,3
dr5rbt,dr5rbv,7
dr5rbv,dr5rby,20
dr5rd3,dr5rd4,2
dr5rd4,dr5rd5,12
dr5rdg,dr5rdv,1
dr5rdg,dr5re5,2
dr5rdg,dr5ren,1
dr5rdg,dr5rep,1
dr5rdt,dr5rdv,6
dr5rdt,dr5rdw,14
dr5rdv,dr5rdw,2
dr5rdv,dr5rdy,8
dr5rdv,dr5reh,2
dr5rdv,dr5rej,9
dr5rdw,dr5rdx,11
dr5rdw,dr5rdy,10
dr5rdx,dr5rdy,2
dr5rdx,dr5rf8,9
dr5rdy,dr5ren,10
dr5rdy,dr5rep,1
dr5rdy,dr5rf8,2
dr5re5,dr5re7,5
dr5re5,dr5reh,19
dr5re7,dr5rek,3
dr5rec,dr5red,2
dr5rec,dr5ref,14
dr5rec,dr5rs4,2
dr5red,dr5ree,4
dr5red,dr5ref,9
dr5red,dr5reg,1
dr5ree,dr5reg,4
dr5ref,dr5reg,14
dr5ref,dr5rs4,6
dr5reg,dr5reu,13
dr5reg,dr5rs5,14
dr5reh,dr5rej,10
dr5reh,dr5rek,11
dr5rej,dr5rem,6
dr5rej,dr5ren,12
dr5rek,dr5rem,6
dr5rem,dr5req,2
dr5ren,dr5rep,9
dr5ren,dr5req,3
dr5ren,dr5rev,2
dr5rep,dr5rer,6
dr5rep,dr5rg0,9
dr5req,dr5rer,2
dr5rer,dr5rg2,15
dr5reu,dr5rev,13
dr5reu,dr5rsh,9
dr5rev,dr5rey,7
dr5rev,dr5rsh,2
dr5rev,dr5rsj,9
dr5rey,dr5rez,7
dr5rey,dr5rgb,1
dr5rey,dr5rsj,1
dr5rey,dr5rsn,9
dr5rey,dr5rsp,2
dr5rez,dr5rgb,5
dr5rez,dr5rsp,9
dr5rf8,dr5rfb,3
dr5rfb,dr5rfc,11
dr5rfb,dr5rg0,12
dr5rfb,dr5rg1,1
dr5rfc,dr5rff,15
dr5rfc,dr5rg1,6
dr5rfc,dr5rg4,2
dr5rff,dr5rg4,11
dr5rfk,dr5rfw,1
dr5rfw,dr5rfx,5
dr5rfw,dr5rfz,3
dr5rfw,dr724b,1
dr5rfx,dr5rfz,3
dr5rfx,dr724b,3
dr5rfz,dr724b,6
dr5rfz,dr724c,3
dr5rg0,dr5rg1,13
dr5rg0,dr5rg2,5
dr5rg0,dr5rg3,1
dr5rg0,dr5rg4,2
dr5rg1,dr5rg3,5
dr5rg1,dr5rg4,13
dr5rg2,dr5rg3,13
dr5rg2,dr5rg9,2
dr5rg3,dr5rg6,12
dr5rg3,dr5rg9,3
dr5rg4,dr5rg5,14
dr5rg4,dr5rg6,2
dr5rg4,dr5rg7,2
dr5rg5,dr5rg7,9
dr5rg5,dr5rgh,14
dr5rg6,dr5rg7,15
dr5rg6,dr5rg9,2
dr5rg6,dr5rgd,8
dr5rg7,dr5rgh,1
dr5rg7,dr5rgk,19
dr5rg7,dr5rgs,2
dr5rg9,dr5rgd,1
dr5rgb,dr5rgc,6
dr5rgb,dr5ru0,11
dr5rgc,dr5rgf,6
dr5rgc,dr5ru0,1
dr5rgc,dr5ru1,8
dr5rgc,dr5ru4,1
dr5rgf,dr5ru4,7
dr5rgh,dr5rgj,11
dr5rgh,dr5rgk,8
dr5rgh,dr5rgn,2
dr5rgj,dr5rgk,2
dr5rgj,dr5rgm,8
dr5rgj,dr5rgn,4
dr5rgj,dr5rgq,2
dr5rgk,dr5rgm,13
dr5rgk,dr5rgs,10
dr5rgk,dr5rgt,3
dr5rgm,dr5rgq,20
dr5rgm,dr5rgt,11
dr5rgn,dr5rgq,10
dr5rgq,dr5rgr,8
dr5rgq,dr5rgt,1
dr5rgq,dr5rgw,9
dr5rgr,dr5rgw,1
dr5rgr,dr5rgx,11
dr5rgr,dr7252,17
dr5rgr,dr7258,2
dr5rgs,dr5rgt,9
dr5rgt,dr5rgw,15
dr5rgt,dr5ru5,4
dr5rgw,dr5rgx,14
dr5rgw,dr5rgy,9
dr5rgx,dr5rgz,9
dr5rgx,dr7258,16
dr5rgy,dr5rgz,8
dr5rgz,dr7258,2
dr5rgz,dr725b,11
dr5rh0,dr5rh1,13
dr5rh0,dr5rh2,8
dr5rh1,dr5rh2,3
dr5rh1,dr5rh3,7
dr5rh1,dr5rh4,14
dr5rh1,dr5rh6,2
dr5rh2,dr5rh3,13
dr5rh2,dr5rh8,7
dr5rh3,dr5rh6,12
dr5rh3,dr5rh9,6
dr5rh3,dr5rhd,2
dr5rh4,dr5rh5,13
dr5rh4,dr5rh6,6
dr5rh5,dr5rh6,4
dr5rh5,dr5rhh,17
dr5rh5,dr5rhk,2
dr5rh6,dr5rhd,7
dr5rh8,dr5rh9,17
dr5rh8,dr5rhb,4
dr5rh9,dr5rhb,1
dr5rh9,dr5rhd,14
dr5rhb,dr5rj0,7
dr5rhd,dr5rhe,8
dr5rhd,dr5rhf,6
dr5rhe,dr5rhg,6
dr5rhe,dr5rhs,11
dr5rhf,dr5rhg,16
dr5rhf,dr5rj4,8
dr5rhg,dr5rhs,3
dr5rhg,dr5rhu,19
dr5rhg,dr5rj5,4
dr5rhh,dr5rhj,12
dr5rhh,dr5rhk,6
dr5rhj,dr5rhk,2
dr5rhj,dr5rhm,7
dr5rhj,dr5rhn,16
dr5rhk,dr5rhm,10
dr5rhk,dr5rhs,7
dr5rhm,dr5rhn,1
dr5rhm,dr5rhq,10
dr5rhm,dr5rhs,3
dr5rhm,dr5rht,7
dr5rhn,dr5rhp,14
dr5rhn,dr5rhq,7
dr5rhp,dr5rhq,1
dr5rhp,dr5rk0,6
dr5rhq,dr5rht,2
dr5rhq,dr5rhw,10
dr5rhq,dr5rhx,2
dr5rhs,dr5rht,16
dr5rhs,dr5rhu,6
dr5rhs,dr5rhv,1
dr5rht,dr5rhv,5
dr5rht,dr5rhw,18
dr5rhu,dr5rhv,12
dr5rhu,dr5rjh,7
dr5rhv,dr5rhy,15
dr5rhv,dr5rjh,1
dr5rhv,dr5rjj,3
dr5rhw,dr5rhx,16
dr5rhw,dr5rhy,7
dr5rhx,dr5rk8,17
dr5rhy,dr5rjj,1
dr5rj4,dr5rj5,12
dr5rj5,dr5rj7,4
dr5rj5,dr5rjh,13
dr5rj7,dr5rjh,1
dr5rj7,dr5rjk,16
dr5rj9,dr5rjb,3
dr5rjh,dr5rjj,15
dr5rjh,dr5rjk,5
dr5rjj,dr5rjk,1
dr5rjj,dr5rjm,5
dr5rjk,dr5rjm,16
dr5rjp,dr5rkb,1
dr5rjp,dr5rm0,9
dr5rju,dr5rjv,15
dr5rjv,dr5rjw,1
dr5rk0,dr5rk1,6
dr5rk6,dr5rk7,14
dr5rk6,dr5rkd,6
dr5rk7,dr5rkd,1
dr5rk7,dr5rke,9
dr5rk7,dr5rkh,2
dr5rk7,dr5rkk,11
dr5rk8,dr5rkb,2
dr5rkb,dr5rkc,2
dr5rkb,dr5rkf,2
dr5rkb,dr5rm0,5
dr5rkc,dr5rkf,2
dr5rkc,dr5rm1,9
dr5rkd,dr5rke,6
dr5rke,dr5rkk,2
dr5rke,dr5rks,11
dr5rke,dr5rku,1
dr5rkf,dr5rkg,2
dr5rkf,dr5rku,2
dr5rkf,dr5rm5,1
dr5rkg,dr5rku,5
